timestamp_utc,packet_index,mode,selected_icao,status,icao_result,encrypt_or_select_ms,packet_build_ms,send_ms,total_packet_ms,packet_hex
2026-04-18T09:53:17.995Z,72,u,7C1D2E,PLAIN,7C1D2E,0.004508,0.068144,0.091828,0.192567,8A7C1D2E41B1604469F46E777C46
2026-04-18T09:53:18.096Z,73,u,7C1D2E,PLAIN,7C1D2E,0.003891,0.065545,0.077773,0.183706,8C7C1D2EE0B3E293552C251D8459
2026-04-18T09:53:18.196Z,74,u,45AB3C,PLAIN,45AB3C,0.004199,0.056714,0.088713,0.177329,8945AB3CD228A61C486B0906EB2A
2026-04-18T09:53:18.297Z,75,u,A58B4D,PLAIN,A58B4D,0.004244,0.055312,0.090965,0.178813,8CA58B4DAFD87E2CDA693D7DDA04
2026-04-18T09:53:18.397Z,76,u,C0FFEE,PLAIN,C0FFEE,0.004100,0.066782,0.091135,0.190467,8CC0FFEE1F297B210211A2EE07E4
2026-04-18T09:53:18.497Z,77,u,C0FFEE,PLAIN,C0FFEE,0.004225,0.060122,0.084100,0.174710,8AC0FFEE6D0501511D32964F2F46
2026-04-18T09:53:18.598Z,78,u,A1B2C3,PLAIN,A1B2C3,0.004415,0.051884,0.093465,0.176823,8FA1B2C3A124509EFD39850075D5
2026-04-18T09:53:18.698Z,79,u,7C1D2E,PLAIN,7C1D2E,0.004507,0.063238,0.090192,0.186197,887C1D2E4BD9D6FF61EC642E0CB7
2026-04-18T09:53:18.799Z,80,u,A1B2C3,PLAIN,A1B2C3,0.004618,0.056330,0.098948,0.188420,89A1B2C3779CC39C07542EAD1789
2026-04-18T09:53:18.899Z,81,u,A1B2C3,PLAIN,A1B2C3,0.003635,0.051104,0.073879,0.155967,8DA1B2C3BA5B21E9B46A1FDB6657
2026-04-18T09:53:19.000Z,82,u,A1B2C3,PLAIN,A1B2C3,0.004106,0.072707,0.109491,0.213660,89A1B2C32D06C586338FC2483256
2026-04-18T09:53:19.100Z,83,u,45AB3C,PLAIN,45AB3C,0.003906,0.078196,0.084468,0.193094,8A45AB3CDC73A509AB992CFC3EFC
2026-04-18T09:53:19.201Z,84,u,7C1D2E,PLAIN,7C1D2E,0.003788,0.052072,0.106767,0.189411,8D7C1D2E2BFCF17BAB4DFD8D1676
2026-04-18T09:53:19.301Z,85,u,45AB3C,PLAIN,45AB3C,0.004616,0.055578,0.089172,0.185519,8845AB3C6EAA9C68039C3443DAE3
2026-04-18T09:53:19.402Z,86,u,7C1D2E,PLAIN,7C1D2E,0.004263,0.051555,0.105939,0.187593,897C1D2E6B50F98C7C7771DD1BA8
2026-04-18T09:53:19.502Z,87,u,7C1D2E,PLAIN,7C1D2E,0.003992,0.053192,0.088841,0.174181,887C1D2E31175E1F639AF5B59697
2026-04-18T09:53:19.603Z,88,u,A1B2C3,PLAIN,A1B2C3,0.004000,0.050710,0.080852,0.173638,8CA1B2C393C6AFE4C9EBC2E232B2
2026-04-18T09:53:19.703Z,89,u,C0FFEE,PLAIN,C0FFEE,0.004346,0.050575,0.084815,0.194342,8FC0FFEEE1F1E2F5B36847F5FDB5
2026-04-18T09:53:19.803Z,90,u,C0FFEE,PLAIN,C0FFEE,0.004274,0.050348,0.083874,0.165289,8BC0FFEE724CA09C3075970B7923
2026-04-18T09:53:19.904Z,91,u,A58B4D,PLAIN,A58B4D,0.003907,0.051777,0.093320,0.175755,8CA58B4D872AEB8F2BC49599BFE0
2026-04-18T09:53:20.004Z,92,u,C0FFEE,PLAIN,C0FFEE,0.004319,0.049960,0.083680,0.172236,8BC0FFEE7DB39ABF32482A812114
2026-04-18T09:53:20.105Z,93,u,7C1D2E,PLAIN,7C1D2E,0.004360,0.054333,0.087329,0.173340,8F7C1D2E1F0E2C0F37BC4CBEE877
2026-04-18T09:53:20.205Z,94,u,7C1D2E,PLAIN,7C1D2E,0.003882,0.054522,0.149962,0.235568,897C1D2EBBECD1AC8B60F80F5EFB
2026-04-18T09:53:20.306Z,95,u,7C1D2E,PLAIN,7C1D2E,0.004219,0.060594,0.097846,0.191021,897C1D2E521E191D2959BCB71421
2026-04-18T09:53:20.406Z,96,u,7C1D2E,PLAIN,7C1D2E,0.003911,0.052914,0.085731,0.168852,8F7C1D2E4EF1179E2C38033DDF66
2026-04-18T09:53:20.507Z,97,u,45AB3C,PLAIN,45AB3C,0.003760,0.053267,0.084374,0.182481,8F45AB3C13A0C7FA0B20D3A4CFB5
2026-04-18T09:53:20.607Z,98,u,7C1D2E,PLAIN,7C1D2E,0.004453,0.055384,0.090877,0.178831,8C7C1D2E4700C3FD25D55A6973E8
2026-04-18T09:53:20.708Z,99,u,7C1D2E,PLAIN,7C1D2E,0.003908,0.075084,0.087797,0.192958,897C1D2EF7C8C3303EDD74C37072
2026-04-18T09:53:20.808Z,100,u,A58B4D,PLAIN,A58B4D,0.003993,0.051038,0.097122,0.178596,8CA58B4D9B2A9888CE5E1683D52A
2026-04-18T09:53:20.909Z,101,u,7C1D2E,PLAIN,7C1D2E,0.005375,0.077469,0.141581,0.258049,897C1D2EEA3300A8BA5DA0CC2DCC
2026-04-18T09:53:21.009Z,102,u,C0FFEE,PLAIN,C0FFEE,0.004549,0.078782,0.100359,0.211715,8CC0FFEE2DA0A2DA9056D67C7AA6
